상품번호,제목,부제목,저자,출판사,출간일,판매가,정가,평점,리뷰수,판매지수
151789405,정지훈의 양자 컴퓨터 강의,AI 다음의 게임 체인저 양자 컴퓨터의 모든 것,정지훈,한빛미디어,2025년 08월,21600,24000,9.8,21,12999
167253365,이론부터 실전까지 AI 에이전트 완벽 마스터,LLM·RAG 기본부터 지식 그래프·강화학습·멀티 에이전트 심화까지,살바토레 라이엘리,프리렉,2025년 11월,37800,42000,10.0,2,3336
133823740,인공지능이 다 해주는 브루 Vrew 영상 편집,"유튜브, 숏폼 영상부터 버튜버, 인공지능 목소리 더빙까지 생성형 AI로 영상 콘텐츠 제작하기",지현이,시프트,2024년 10월,18000,20000,9.7,19,10629
154286556,Do it! 커서로 시작하는 AI 코딩 입문,"웹 앱 제작, 데이터베이스 연동, 프롬프트 작성법, MCP 연결, 바이브 코딩, 서비스 배포, 깃허브 활용",고경희,이지스퍼블리싱,2025년 09월,20700,23000,9.9,17,4671
169672758,프롬프트를 만드는 프롬프트 GPTs & Gems,,민진홍,성안당,2025년 12월,24300,27000,10.0,4,1644
166665802,그림으로 이해하는 도커와 쿠버네티스,"도커와 쿠버네티스, 쉽고 재미있게 시작하자!",토쿠나가 코헤이,길벗,2025년 11월,19800,22000,10.0,12,2568
167694445,팔리는 블로그 & SNS 글쓰기 with 챗GPT,"콘텐츠 아이디어부터 이미지까지, 하루 30분으로 1일 1 포스팅 가능한 AI 활용법",홍순성,한빛미디어,2025년 12월,22500,25000,10.0,4,2928
122338517,핸즈온 머신러닝,"사이킷런, 케라스, 텐서플로 2로 완벽 이해하는 머신러닝, 딥러닝 이론 & 실무",오렐리앙 제롱,한빛미디어,2023년 09월,54000,60000,9.7,39,6408
150701473,"요즘 AI 에이전트 개발, LLM RAG ADK MCP LangChain A2A LangGraph","60가지 예제로 배우는 인공지능 에이전트 개발, 싱글 Agent부터 멀티 Agent 시스템 설계 및 협업 방식까지",박승규,골든래빗,2025년 08월,28800,32000,0,0,8532
152814420,챗GPT 교사 마스터 플랜,"미드저니, 제미나이, 노트북LM, 캔바 등 생성형 AI(인공지능) 도구 개념 기반 수업 설계",한민철,책바세,2025년 09월,24300,27000,10.0,23,5448
147735087,생성형 AI를 위한 프롬프트 엔지니어링,"랭체인, 스테이블 디퓨전, 미드저니, 챗GPT를 다루는 가장 실용적인 방법",제임스 피닉스,한빛미디어,2025년 06월,34200,38000,10.0,8,5988
167584729,AI 자율학습 밑바닥부터 배우는 AI 에이전트,프레임워크 없이 5가지 워크플로 패턴으로 배우는 에이전트 설계 원리,다비드스튜디오,길벗,2025년 12월,21600,24000,9.5,8,2394
147957269,이게 되네? 클로드 MCP 미친 활용법 27제,"엑셀, 노션, 옵시디언, 피그마, 블렌더, 스테이블 디퓨전부터 메일, 보고서, 블로그, 대시보드, 크롤링, 유튜브 썸네일 생성까지 27가지 일잘러의 AI 대통합 업무 자동화",박현규,골든래빗,2025년 07월,21600,24000,9.7,56,11292
168451090,"요즘 바이브 코딩 v0 + 커서 입문 PRD 기획·개발·배포, 일주일 완성","인공지능 코딩, vercel, 기획, PRD, 설계, 인증, 배포, QR·바코드 생성 앱, 챗GPT, DeepL 번역 클론 앱, API, 리팩터링, 수파베이스 연동, 6/45 로또 앱, AI 챗봇, 메모 앱, 할 일 목록 앱, 이미지 갤러리 앱, 커서",김동학,골든래빗,2026년 01월,25200,28000,10.0,1,2037
127102247,AI 영상 제작,속지 않을 자신 있나요? 숏폼부터 딥페이크까지,민지영,길벗,2024년 06월,22500,25000,9.7,94,12450
167437364,"Dify AI, 코드 없는 미래","클릭만으로 업무 프로세스 리빌드, 노코드 AI 자동화 실전 가이드",김정욱,한빛미디어,2025년 12월,23400,26000,9.9,127,3129
168561327,"어쨌든, 바이브 코딩",코딩을 몰라도 50개 앱과 웹사이트를 AI와 LLM을 활용해서 개발한다,코다프레스,인사이트(insight),2025년 12월,19800,22000,10.0,4,1821
104661489,혼자 공부하는 SQL,1:1 과외하듯 배우는 데이터베이스 자습서,우재남,한빛미디어,2021년 11월,21600,24000,9.7,52,5988
159060578,실무에 바로 쓰는 일잘러의 챗GPT 프롬프트 74가지,,이석현,제이펍,2025년 10월,19800,22000,10.0,49,3561
169407614,AI를 움직이는 수학 이야기,실생활 예제로 배우는 기술 속 수학의 비밀,후루시마 도오루,한빛미디어,2025년 12월,29700,33000,10.0,1,1212
145383562,현직 교사가 만든 업무자동화를 원하는 교사를 위한 찐 실전 챗GPT GPTs·미조우·제미나이 - 챗봇 만들기 생성형 AI 챗봇으로 수업 업무 박살 내기!,"탐구 질문 생성, 생활기록부 작성(행발, 교과 세특), 갈등 해결 챌린지, 학생 질문 평가, 진로 연계 학생 활동, 학급 경영(좌석 배치)",김요섭,광문각출판미디어,2025년 04월,15000,15000,9.9,36,6057
145761422,주니어 백엔드 개발자가 반드시 알아야 할 실무 지식,시행착오를 줄여주는 실무 밀착 백엔드 개발 가이드,최범균,한빛미디어,2025년 04월,25200,28000,9.8,25,10362
72173703,밑바닥부터 시작하는 딥러닝 2,파이썬으로 직접 구현하며 배우는 순환 신경망과 자연어 처리,사이토 고키,한빛미디어,2019년 05월,26100,29000,9.9,45,5433
151667493,코딩 자율학습 리액트 프런트엔드 개발 입문,리액트 19와 타입스크립트로 배우는 실무 중심 프런트엔드 개발 자습서,김기수,길벗,2025년 09월,37800,42000,9.9,19,2754
151780100,된다! 하루 만에 만드는 AI 사진 & 이미지,"챗GPT부터 미드저니까지 다 통한다! 광고 사진, 카드 뉴스, 섬네일, AI 인물 모델 등 인스타그램, 유튜브, 블로그 어디든 활용 가능!",김원석,이지스퍼블리싱,2025년 08월,16020,17800,10.0,40,4296
129081594,LLM을 활용한 실전 AI 애플리케이션 개발,"LLM의 기본부터 모델 학습, 임베딩, 벡터 데이터베이스로 만드는 RAG까지",허정준,책만,2024년 07월,28800,32000,9.4,29,12501
150110126,콘텐츠 디자인은 피그마 with AI,"마케팅, 기획을 위한 올인원 디자인 플랫폼! 기초 사용법, 플러그인, 인공지능 기능부터 배너, 카드 뉴스 템플릿, 상세페이지 자동화까지",김선영,골든래빗,2025년 08월,23400,26000,10.0,8,5532
169641363,AI 프로토타이핑 실전,기획 아이디어를 빠르게 실현하는,김성박,루비페이퍼,2025년 12월,25200,28000,10.0,4,1542
169421035,10일 만에 익히는 파이토치 딥러닝,,한기영,인사이트(insight),2025년 12월,24300,27000,10.0,1,1014
143533211,선생님을 위한 8282 업무 자동화 with AI+파이썬+노코드,학교 수업·행정 자동화의 모든 것! 선생님을 위한 72가지 업무 혁신 가이드,강우혁,골든래빗,2025년 04월,25200,28000,10.0,6,6579
170374556,LUVIT♥ 파이썬으로 만드는 초경량 한국어 LLM 챗봇,구글 코랩으로 실습하는 데이터 분석 + 챗봇 + LLM,김규석,제이펍,2026년 01월,25200,28000,0,0,1260
167431026,소프트웨어 아키텍처 The Basics,모던 엔지니어링을 위한 소프트웨어 아키텍처의 모든 것,마크 리처즈,한빛미디어,2025년 11월,38700,43000,9.8,13,1776
154076881,크리핵티브의 한 권으로 끝내는 웹 해킹 바이블,SQL 인젝션부터 시큐어 코딩까지 이론과 실습으로 익히는 완벽 웹 해킹 가이드,하동민(크리핵티브),한빛미디어,2025년 10월,54000,60000,9.9,28,2307
146828776,AI로 7일 만에 사업 시작하기,,김다솔,길벗,2025년 06월,19800,22000,9.2,51,7410
126804246,개발자를 위한 필수 수학,기초 수학으로 시작하는 데이터 과학 첫걸음,토머스 닐드,한빛미디어,2024년 06월,27000,30000,9.7,36,6663
146043037,선생님을 위한 캔바 수업 활용,"캔바 A to Z, 수업 자료 만들기, 협업 수업과 평가, 에듀테크 활용 수업, 캔바 AI 수업 활용법",김민주,앤써북,2025년 05월,16920,18800,10.0,15,6864
11681152,Clean Code 클린 코드,애자일 소프트웨어 장인 정신,로버트 C. 마틴,인사이트(insight),2013년 12월,29700,33000,9.5,101,7593
